2025-12-01 01:25:56,647 - INFO - Logger initialized
2025-12-01 01:25:56,657 - INFO - Logger initialized
2025-12-01 01:25:56,657 - INFO - Logger initialized
2025-12-01 01:25:56,671 - DEBUG - Recorded event: time=0, event_type=DUMMY, details=<test_link.DummyPacket object at 0x000001E105F24D60>
2025-12-01 01:25:56,671 - DEBUG - Recorded event: time=0, event_type=DUMMY, details=<test_link.DummyPacket object at 0x000001E105F24D60>
2025-12-01 01:25:56,691 - INFO - Logger initialized
2025-12-01 01:25:56,691 - INFO - Logger initialized
2025-12-01 01:25:56,698 - INFO - Logger initialized
2025-12-01 01:25:56,698 - INFO - Logger initialized
2025-12-01 01:25:56,699 - DEBUG - Recorded cwnd: time=1.0, flow_id=1, cwnd=10
2025-12-01 01:25:56,699 - DEBUG - Recorded cwnd: time=1.0, flow_id=1, cwnd=10
2025-12-01 01:25:56,700 - DEBUG - Recorded queue: time=1.0, link_id=1, queue_size=5
2025-12-01 01:25:56,700 - DEBUG - Recorded queue: time=1.0, link_id=1, queue_size=5
2025-12-01 01:25:56,700 - DEBUG - Recorded event: time=1.0, event_type=PACKET_SENT, details=Packet 1 sent
2025-12-01 01:25:56,700 - DEBUG - Recorded event: time=1.0, event_type=PACKET_SENT, details=Packet 1 sent
2025-12-01 01:25:56,707 - INFO - Logger initialized
2025-12-01 01:25:56,707 - INFO - Logger initialized
2025-12-01 01:25:56,708 - DEBUG - Recorded cwnd: time=1.0, flow_id=1, cwnd=10
2025-12-01 01:25:56,708 - DEBUG - Recorded cwnd: time=1.0, flow_id=1, cwnd=10
2025-12-01 01:25:56,709 - DEBUG - Recorded queue: time=1.0, link_id=1, queue_size=5
2025-12-01 01:25:56,709 - DEBUG - Recorded queue: time=1.0, link_id=1, queue_size=5
2025-12-01 01:25:56,709 - DEBUG - Recorded event: time=1.0, event_type=PACKET_SENT, details=Packet 1 sent
2025-12-01 01:25:56,709 - DEBUG - Recorded event: time=1.0, event_type=PACKET_SENT, details=Packet 1 sent
2025-12-01 01:25:56,710 - INFO - Wrote log to cwnd_log.csv
2025-12-01 01:25:56,710 - INFO - Wrote log to cwnd_log.csv
2025-12-01 01:25:56,712 - INFO - Wrote log to queue_log.csv
2025-12-01 01:25:56,712 - INFO - Wrote log to queue_log.csv
2025-12-01 01:25:56,713 - INFO - Wrote log to event_log.csv
2025-12-01 01:25:56,713 - INFO - Wrote log to event_log.csv
2025-12-01 01:25:56,717 - DEBUG - Recorded event: time=0.01, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F74550>
2025-12-01 01:25:56,717 - DEBUG - Recorded event: time=0.01, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F74550>
2025-12-01 01:25:56,718 - DEBUG - Recorded event: time=0.02, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F74050>
2025-12-01 01:25:56,718 - DEBUG - Recorded event: time=0.02, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F74050>
2025-12-01 01:25:56,719 - DEBUG - Recorded event: time=0.03, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F25940>
2025-12-01 01:25:56,719 - DEBUG - Recorded event: time=0.03, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F25940>
2025-12-01 01:25:56,720 - DEBUG - Recorded event: time=0.060000000000000005, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F0DAE0>
2025-12-01 01:25:56,720 - DEBUG - Recorded event: time=0.060000000000000005, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F0DAE0>
2025-12-01 01:25:56,720 - DEBUG - Recorded event: time=0.07, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F0DF20>
2025-12-01 01:25:56,720 - DEBUG - Recorded event: time=0.07, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F0DF20>
2025-12-01 01:25:56,720 - DEBUG - Recorded event: time=0.09, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F38B50>
2025-12-01 01:25:56,720 - DEBUG - Recorded event: time=0.09, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F38B50>
2025-12-01 01:25:56,720 - DEBUG - Recorded event: time=0.11999999999999998, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F6AC10>
2025-12-01 01:25:56,720 - DEBUG - Recorded event: time=0.11999999999999998, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F6AC10>
2025-12-01 01:25:56,720 - DEBUG - Recorded event: time=0.12999999999999998, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F6A970>
2025-12-01 01:25:56,720 - DEBUG - Recorded event: time=0.12999999999999998, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F6A970>
2025-12-01 01:25:56,721 - DEBUG - Recorded event: time=0.13999999999999999, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F64870>
2025-12-01 01:25:56,721 - DEBUG - Recorded event: time=0.13999999999999999, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F64870>
2025-12-01 01:25:56,721 - DEBUG - Recorded event: time=0.15, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E1045EF7D0>
2025-12-01 01:25:56,721 - DEBUG - Recorded event: time=0.15, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E1045EF7D0>
